timestamp,mode,SPTemp,SPHum,SPLight,actTemp,actHum,actLight,manHeater,manComp,manLight,manHum,cpuTemp
23:51:44_3/8/2023,auto,23,90,0,23.0,102,0,False,False,0,False,37.00
23:53:44_3/8/2023,auto,23,90,0,22.9,80,0,False,False,0,False,37.97
23:55:44_3/8/2023,auto,23,90,0,22.8,79,0,False,False,0,False,38.46
23:57:44_3/8/2023,auto,23,90,0,22.8,89,0,False,False,0,False,37.97
23:59:44_3/8/2023,auto,23,90,0,22.8,96,0,False,False,0,False,37.48
0:1:44_4/8/2023,auto,23,90,0,22.9,101,0,False,False,0,False,37.48
0:3:44_4/8/2023,auto,23,90,0,23.0,102,0,False,False,0,False,37.97
0:5:44_4/8/2023,auto,23,90,0,22.9,80,0,False,False,0,False,37.48
0:7:44_4/8/2023,auto,23,90,0,22.8,80,0,False,False,0,False,38.46
0:9:44_4/8/2023,auto,23,90,0,22.8,89,0,False,False,0,False,37.97
0:11:44_4/8/2023,auto,23,90,0,22.8,96,0,False,False,0,False,37.48
0:13:47_4/8/2023,auto,23,90,0,22.9,101,0,False,False,0,False,37.97
0:15:44_4/8/2023,auto,23,90,0,23.0,102,0,False,False,0,False,38.46
0:17:44_4/8/2023,auto,23,90,0,22.9,80,0,False,False,0,False,37.00
0:19:44_4/8/2023,auto,23,90,0,22.8,79,0,False,False,0,False,37.97
0:21:44_4/8/2023,auto,23,90,0,22.8,89,0,False,False,0,False,37.97
0:23:44_4/8/2023,auto,23,90,0,22.8,96,0,False,False,0,False,37.97
0:25:44_4/8/2023,auto,23,90,0,22.9,101,0,False,False,0,False,37.97
0:27:44_4/8/2023,auto,23,90,0,23.0,102,0,False,False,0,False,37.48
0:29:44_4/8/2023,auto,23,90,0,22.9,78,0,False,False,0,False,37.48
0:31:44_4/8/2023,auto,23,90,0,22.8,81,0,False,False,0,False,38.46
0:33:44_4/8/2023,auto,23,90,0,22.8,90,0,False,False,0,False,37.97
0:35:44_4/8/2023,auto,23,90,0,22.8,97,0,False,False,0,False,37.97
0:37:44_4/8/2023,auto,23,90,0,22.9,101,0,False,False,0,False,37.48
0:39:44_4/8/2023,auto,23,90,0,23.0,102,0,False,False,0,False,37.00
0:41:44_4/8/2023,auto,23,90,0,22.9,77,0,False,False,0,False,38.95
0:43:44_4/8/2023,auto,23,90,0,22.8,81,0,False,False,0,False,37.97
